eventinfoid,eventid,numberofpeople,description,title
1,1,0,"Join our friendly Monday morning football meet at the Hanoi Sports Complex. Open to all skill levels — we’ll warm up, play short matches and end with a cool-down chat. Bring water and your own gear; space is limited so arrive 10 minutes early.","Morning Football Meetup"
2,2,0,"An early-bird badminton session focused on drills, footwork, and doubles strategies. Coaches will run short drills and then open play. Great for improving reflexes and stamina, suitable for intermediate players wanting a focused practice.","Badminton Drill Session"
3,3,0,"A community table tennis warm-up and friendly competition at the Da Nang Sports Center. We’ll have quick matches with rotating partners, spotlight skills practice and a small consolation prize for fun. All ages welcome.","Table Tennis Friendly"
4,4,0,"Weekend tennis clinic covering serve mechanics, volleying and match tactics. Players will rotate through drills and practice sets. Coaches provide technique feedback and tips to improve consistency. Bring your racket and enthusiasm.","Weekend Tennis Clinic"
5,5,0,"Beach volleyball social event — teams will be formed on arrival for a relaxed tournament. Expect mixed-skill teams, sun-safe play, and refreshments afterward. Great for groups looking for an active weekend outing.","Beach Volleyball Social"
6,6,0,"Indoor basketball pickup where players rotate through short scrimmages. Focus on team play, shooting drills and defense. Suitable for experienced players who enjoy fast-paced games and a competitive but friendly atmosphere.","Indoor Basketball Pickup"
7,7,0,"Multi-sport community day featuring small-sided football and volleyball activities. Bring friends, join mixed teams and enjoy a casual competitive spirit. Volunteers will run short skill challenges with small prizes.","Community Multi-Sport Day"
8,8,0,"Pickleball open court afternoon with coaching tips for beginners. We’ll cover basic rules, grip and court positioning, then move to short practice games. Paddles are available to borrow if needed.","Pickleball Intro & Play"
9,9,0,"Tennis and table tennis combo session offering both indoor and outdoor play. Players can pick either sport and rotate between courts for varied practice. Great for families and multi-sport enthusiasts.","Dual Racket Play"
10,10,0,"Open running meet where participants complete interval training on the Pleiku track. Coaches lead dynamic warm-ups and timed intervals tailored to different fitness levels. Finish with light stretching and coach tips.","Track Interval Session"
11,11,0,"An indoor racket mix focusing on badminton, table tennis and quick court drills to improve hand-eye coordination. Rotational format lets players try each sport and pick up new skills in a high-energy setting.","Racket Sports Rotation"
12,12,0,"Beginner-friendly golf practice focusing on putting and short approach shots at the Kon Tum range. Coaches will give simple drills to help consistency and direction control. Clubs available to borrow on request.","Beginner Putting Clinic"
13,13,0,"Football training session emphasizing tactical awareness and finishing. Players will work through build-up drills and small-sided attacking games to sharpen shooting and decision-making in pressure scenarios.","Tactical Football Training"
14,14,0,"Indoor basketball casual play with an emphasis on shooting drills and pick-up matches. Suitable for players wanting to work on their mid-range game and team coordination in a friendly environment.","Casual Basketball Session"
15,15,0,"Coastal volleyball and running combo — short beach sprints followed by friendly volleyball matches. Ideal for cross-training, improving stamina and enjoying a beach-side sports afternoon with light social time.","Beach Sprint & Volleyball"
16,16,0,"Badminton development session with footwork exercises and match play focusing on net play and drop shots. Coaches provide feedback and pairings are rotated to balance skill levels.","Badminton Net Skills"
17,17,0,"Table tennis tournament-style evening with quick rounds and rotating opponents. Prizes for top finishers and consolation brackets ensure everyone gets plenty of game time and competitive fun.","Evening Table Tennis Tournament"
18,18,0,"Community running meet featuring relaxed-paced group runs with options for different distances. Meet at the Phan Thiet track for a varied route and social cool-down afterward. Great for all fitness levels.","Social Group Run"
19,19,0,"Local football scrimmage focusing on short passing and finishing. Friendly referees manage the game; substitutions are frequent to keep play active. Bring cleats and water.","Passing & Finishing Scrimmage"
20,20,0,"Multi-court indoor/outdoor session with volleyball and basketball rotations. Players will experience quick drills and short matches in both sports, emphasizing teamwork and fun competition.","Indoor/Outdoor Rotation"
21,21,0,"Family tennis day with mini-games and coaching for children and beginners. The session includes basic stroke instruction and fun relay games to build confidence in new players.","Family Tennis Fun"
22,22,0,"Badminton social night focused on mixed doubles and social play. Rotations ensure varied partners and relaxed competition, with light refreshments offered afterward.","Badminton Social Night"
23,23,0,"Football and table tennis combo event offering a balance of outdoor play and indoor skill games. Perfect for groups wanting varied activities and social interaction across sports.","Football & Table Tennis Mix"
24,24,0,"Basketball skills afternoon concentrating on defense drills and shooting mechanics. Coaches provide progressive exercises and small-sided games to reinforce learning.","Defense & Shooting Clinic"
25,25,0,"Open running time trial for community athletes to test pace over a fixed distance. Coaches will record times and provide pacing advice for participants aiming to improve performance.","Community Time Trial"
26,26,0,"Tennis doubles clinic focused on positioning and team tactics. Partners will rotate and coaches will offer strategy tips to improve doubles coordination and court coverage.","Doubles Strategy Clinic"
27,27,0,"Table tennis open practice and coaching session with emphasis on serve variation and return placement. Drills followed by match play help consolidate new skills.","Serve & Return Practice"
28,28,0,"Junior volleyball coaching session aimed at developing basic technique and teamwork for younger players. Drills are age-appropriate and focus on passing, setting and movement.","Junior Volleyball Coaching"
29,29,0,"Running endurance workshop with progressive intervals and recovery strategies led by an experienced coach. Suited for runners looking to build longer sustained pace and race readiness.","Endurance Interval Workshop"
30,30,0,"Golf and tennis cross-training afternoon with short clinics in both sports to develop coordination and swing fundamentals. Small-group coaching ensures individual feedback and progress.","Cross-Training Clinic"
