notificationid,status,userid,message,time,notificationtype,notificationtypeid
1,unread,1,"Join us for this football event! Get the best deals of the season.",2023-10-18 12:00:00,courtbooking,1
2,unread,1,"Don't miss out on our upcoming event happening this weekend.",2023-10-18 14:00:00,eventbooking,1
3,unread,1,"Get ready for a special running event next Friday. Register now!",2023-10-19 16:00:00,tsbooking,1
4,unread,1,"Check out the new event series launching next month.",2023-10-20 10:00:00,payment,1
5,unread,1,"Important: RSVP for the VIP event this weekend.",2023-10-21 08:00:00,courtbooking,1
6,unread,1,"Limited-time offer! Get 40% off on selected products.",2023-10-18 12:00:00,eventbooking,2
7,unread,1,"Claim your $50 voucher today! Don't miss out!",2023-10-18 14:00:00,payment,2
8,unread,1,"Unlock your exclusive gift! Limited quantities available.",2023-10-19 16:00:00,tsbooking,2
9,unread,1,"Hurry up! Grab our flash sale before it ends!",2023-10-20 10:00:00,courtbooking,2
10,unread,1,"Enjoy 30% off on your next purchase. Use code: SUMMER30",2023-10-21 08:00:00,eventbooking,2
11,unread,1,"Order confirmed. We're preparing your order and will notify you once it's shipped.",2023-10-18 12:00:00,payment,3
12,unread,1,"Your order has been shipped. You can track your order status anytime through the app.",2023-10-18 14:00:00,tsbooking,3
13,unread,1,"Great news! Your payment has been successfully processed.",2023-10-19 16:00:00,eventbooking,3
14,unread,1,"Your item has been delivered! Track the shipment via the app.",2023-10-20 10:00:00,courtbooking,3
15,unread,1,"We’ve updated our terms of service. Please review the changes.",2023-10-21 08:00:00,tsbooking,3
