notificationid,status,userid,message,time,notificationtype,notificationtypeid,title
1,unread,1,Join us for this football event! Get the best deals of the season.,2023-10-18 12:00:00,courtbooking,1,Football Event: Best Deals of the Season
2,unread,2,Don't miss out on our upcoming event happening this weekend.,2023-10-18 14:00:00,eventbooking,1,Upcoming Weekend Event: Don’t Miss Out
3,unread,3,Get ready for a special running event next Friday. Register now!,2023-10-19 16:00:00,tsbooking,1,Special Running Event: Register Now
4,unread,4,Check out the new event series launching next month.,2023-10-20 10:00:00,payment,1,New Event Series Launching Soon
5,read,5,Important: RSVP for the VIP event this weekend.,2023-10-21 08:00:00,courtbooking,1,VIP Event: RSVP Required
6,unread,6,Limited-time offer! Get 40% off on selected products.,2023-10-18 12:00:00,eventbooking,2,Limited-Time Offer: 40% Off Selected Products
7,unread,7,Claim your $50 voucher today! Don't miss out!,2023-10-18 14:00:00,payment,2,$50 Voucher: Claim Today
8,unread,8,Unlock your exclusive gift! Limited quantities available.,2023-10-19 16:00:00,tsbooking,2,Exclusive Gift: Limited Quantities
9,unread,9,Hurry up! Grab our flash sale before it ends!,2023-10-20 10:00:00,courtbooking,2,Flash Sale: Hurry Up!
10,unread,10,Enjoy 30% off on your next purchase. Use code: SUMMER30,2023-10-21 08:00:00,eventbooking,2,30% Off: Use Code SUMMER30
11,unread,11,Order confirmed. We're preparing your order and will notify you once it's shipped.,2023-10-18 12:00:00,payment,3,Order Confirmed: Preparing Your Order
12,read,12,Your order has been shipped. You can track your order status anytime through the app.,2023-10-18 14:00:00,tsbooking,3,Order Shipped: Track Status
13,unread,13,Great news! Your payment has been successfully processed.,2023-10-19 16:00:00,eventbooking,3,Payment Successful: Great News
14,read,14,Your item has been delivered! Track the shipment via the app.,2023-10-20 10:00:00,courtbooking,3,Item Delivered: Track Shipment
15,unread,15,We’ve updated our terms of service. Please review the changes.,2023-10-21 08:00:00,tsbooking,3,Terms of Service Updated
16,read,16,Reminder: Update your profile to unlock new features.,2023-10-22 09:15:00,eventbooking,4,Profile Update: Unlock New Features
17,read,17,System maintenance scheduled for tomorrow night.,2023-10-22 10:30:00,payment,4,System Maintenance Scheduled
18,unread,18,New court added near your location!,2023-10-22 11:45:00,courtbooking,4,New Court Added Near You
19,unread,19,Organizer tools have received an update.,2023-10-22 13:00:00,tsbooking,4,Organizer Tools Updated
20,read,20,Weekly summary is now available.,2023-10-22 14:15:00,eventbooking,4,Weekly Summary Available
