# SportConnect — UI String Translations
# Format: ENGLISH_KEY | English text | Vietnamese translation
# Generated from frontend codebase scan

# ─── COMMON / SHARED ────────────────────────────────────────────
COMMON_BTN_CANCEL | Cancel | Hủy
COMMON_BTN_CONFIRM | Confirm | Xác nhận
COMMON_BTN_SUBMIT | Submit | Gửi
COMMON_BTN_SAVE | Save | Lưu
COMMON_BTN_EDIT | Edit | Chỉnh sửa
COMMON_BTN_DELETE | Delete | Xóa
COMMON_BTN_CLOSE | Close | Đóng
COMMON_BTN_DONE | Done | Xong
COMMON_BTN_BACK | Back | Quay lại
COMMON_BTN_NEXT | Next | Tiếp theo
COMMON_BTN_RETURN | Return | Quay lại
COMMON_BTN_EXIT | Exit | Thoát
COMMON_LABEL_LOADING | Loading... | Đang tải...
COMMON_LABEL_ERROR | Error | Lỗi
COMMON_LABEL_SUCCESS | Success | Thành công
COMMON_LABEL_FREE | Free | Miễn phí
COMMON_LABEL_DATE | Date | Ngày
COMMON_LABEL_TIME | Time | Thời gian
COMMON_LABEL_ADDRESS | Address | Địa chỉ
COMMON_LABEL_COURT | Court | Sân
COMMON_LABEL_VENUE | Venue | Địa điểm
COMMON_LABEL_PAYMENT | Payment | Thanh toán
COMMON_LABEL_NOTE | Note | Ghi chú
COMMON_LABEL_TYPE | Type | Loại
COMMON_LABEL_STATUS | Status | Trạng thái
COMMON_LABEL_NO_IMAGE | No image | Không có ảnh
COMMON_LABEL_AMOUNT | Amount | Số tiền
COMMON_LABEL_DESCRIPTION | Description | Mô tả

# ─── AUTH — LOGIN ────────────────────────────────────────────────
AUTH_APP_TITLE | SportConnect | SportConnect
AUTH_LOGIN_TITLE | Login | Đăng nhập
AUTH_LABEL_REMEMBER_ME | Remember me | Ghi nhớ đăng nhập
AUTH_LINK_FORGOT_PASSWORD | Forgot Password ? | Quên mật khẩu ?
AUTH_DIVIDER_OR_LOGIN_WITH | Or Login with | Hoặc đăng nhập với
AUTH_LINK_SIGN_UP | Sign up | Đăng ký
AUTH_PLACEHOLDER_EMAIL | Email | Email
AUTH_PLACEHOLDER_PASSWORD | Password | Mật khẩu

# ─── AUTH — SIGN UP ──────────────────────────────────────────────
AUTH_SIGNUP_TITLE | Sign Up | Đăng ký
AUTH_SIGNUP_SUBTITLE | Create your SportConnect account | Tạo tài khoản SportConnect của bạn
AUTH_LABEL_DISPLAY_NAME | Display Name | Tên hiển thị
AUTH_LABEL_USERNAME | Username | Tên người dùng
AUTH_LABEL_EMAIL_OR_PHONE | Email or Phone Number | Email hoặc Số điện thoại
AUTH_LABEL_PASSWORD | Password | Mật khẩu
AUTH_LABEL_CONFIRM_PASSWORD | Confirm Password | Xác nhận mật khẩu
AUTH_BTN_SIGN_UP | Sign Up | Đăng ký
AUTH_LABEL_ALREADY_HAVE_ACCOUNT | Already have an account? | Đã có tài khoản?

# ─── HOME ────────────────────────────────────────────────────────
HOME_SECTION_YOUR_CHOICES | Your choices | Lựa chọn của bạn
HOME_SECTION_EVENT | Event | Sự kiện
HOME_LABEL_ADD_MORE | Add more... | Thêm nữa...
HOME_LABEL_TAP_FIND_FAVOURITE | Tap to find your favourite courts!! | Nhấn để tìm sân yêu thích của bạn!!
HOME_LABEL_NO_CURRENT_EVENTS | There is no current event | Hiện tại không có sự kiện nào
HOME_ERR_FAILED_LOAD_FAVOURITES | Failed to load favourites: | Không tải được danh sách yêu thích:
HOME_LABEL_REFINING_DISTANCE | Refining nearby distance... | Đang xác định khoảng cách gần...
HOME_MENU_TITLE | Menu | Menu
HOME_MENU_LANGUAGE | Language | Ngôn ngữ
HOME_CAT_COACH | Coach | Buổi tập
HOME_CAT_EVENT | Event | Sự kiện
HOME_CAT_COURT | Court | Sân

# ─── MAP ─────────────────────────────────────────────────────────
MAP_PLACEHOLDER_SEARCH | Search for a location... | Tìm kiếm địa điểm...
MAP_CHIP_COURTS | Courts | Sân
MAP_CHIP_EVENTS | Events | Sự kiện
MAP_CHIP_TRAINING | Training | Tập luyện
MAP_CHIP_VENUE | Venue | Không gian
MAP_CHIP_VENUE_BOTH | Venue: Both | Không gian: Cả hai
MAP_CHIP_STATUS | Status | Trạng thái
MAP_CHIP_DISTANCE | Distance | Khoảng cách
MAP_CHIP_DISTANCE_KM | Distance: {n}km | Khoảng cách: {n}km
MAP_FILTER_CLEAR_ALL | Clear All | Xóa tất cả
MAP_FILTER_CLEAR | Clear | Xóa
MAP_FILTER_DISTANCE_INPUT_TITLE | Type distance (km) | Nhập khoảng cách (km)
MAP_LABEL_INDOOR | Indoor | Trong nhà
MAP_LABEL_OUTDOOR | Outdoor | Ngoài trời
MAP_LABEL_IN_OUTDOOR | In/Outdoor | Trong/Ngoài nhà
