courtbookingid,availabilityid,userid,status,paymentid,start_timestamp,end_timestamp,bookingdate,note
1,1,78,approved,1,2025-11-17 09:00:00,2025-11-17 11:00:00,2025-11-17,"Player requested an early slot due to work commitments; prefers indoor court and brought own racket, excited to practice volleys and improve footwork during the session."
2,3,78,approved,2,2025-11-19 08:00:00,2025-11-19 12:00:00,2025-11-19,"Friendly match arranged with colleagues, hopes to focus on serves and net play while keeping the pace relaxed and social after the session finishes."
3,4,78,approved,3,2025-11-20 07:00:00,2025-11-20 10:00:00,2025-11-20,"Requested coach assistance for drills and endurance training; wants to simulate match conditions and work on consistent backhand returns throughout the morning."
4,6,78,approved,4,2025-11-22 10:00:00,2025-11-22 14:00:00,2025-11-22,"Group booking for weekend tournament practice; teams will rotate courts and focus on set plays, communication and positioning under timed drills."
5,7,78,approved,5,2025-11-18 08:30:00,2025-11-18 10:30:00,2025-11-18,"Arriving late by fifteen minutes due to prior commitment; please hold the court and a small warmup area for stretches and mobility work."
6,8,78,approved,6,2025-11-23 12:00:00,2025-11-23 15:00:00,2025-11-23,"Bringing two beginner players for their first lesson; focus on basic technique, safety, and short rally practice with plenty of encouragement."
7,10,78,approved,7,2025-11-17 13:00:00,2025-11-17 15:00:00,2025-11-17,"Player recovering from minor ankle sprain; requests softer warmup and avoid high-impact drills, will bring ankle support bandage."
8,12,78,approved,8,2025-11-19 14:00:00,2025-11-19 18:00:00,2025-11-19,"Club coaching session focused on tactical plays and set-piece rehearsals; please ensure scoreboards and cones are available for drills."
9,13,78,approved,9,2025-11-18 09:00:00,2025-11-18 11:00:00,2025-11-18,"Friendly social tennis, expecting mixed skill levels; emphasis on fun, rotation and light competition with plenty of water breaks."
10,15,78,approved,10,2025-11-21 16:00:00,2025-11-21 20:00:00,2025-11-21,"Evening training under lights requested; players prefer slightly lower ball pressure and longer rallies to work on endurance and shot placement."
11,16,78,approved,11,2025-11-20 08:30:00,2025-11-20 11:30:00,2025-11-20,"High-intensity interval drills planned with sprint and agility components; participants aware of hydration needs and will bring timers."
12,18,78,approved,12,2025-11-21 11:00:00,2025-11-21 14:00:00,2025-11-21,"Court reserved for junior clinic focusing on footwork and coordination; request small cones, markers and extra balls for stations."
13,19,78,approved,13,2025-11-17 10:00:00,2025-11-17 12:00:00,2025-11-17,"Player celebrating birthday after match; small cake and photos afterwards, please allow brief cleanup time at end of booking."
14,21,78,approved,14,2025-11-18 09:00:00,2025-11-18 13:00:00,2025-11-18,"Training block focused on doubles strategies and communication; partners will switch every 20 minutes to practice different formations."
15,22,78,approved,15,2025-11-19 11:30:00,2025-11-19 14:30:00,2025-11-19,"Arranged scouting session with visiting coach; feedback will be recorded and shared, players asked to warm up thoroughly beforehand."
16,24,78,approved,16,2025-11-20 15:00:00,2025-11-20 17:00:00,2025-11-20,"Late afternoon practice prioritising volley technique and reaction drills; bring hand towels and an extra set of balls for rapid repetition."
17,26,78,approved,17,2025-11-22 10:30:00,2025-11-22 14:30:00,2025-11-22,"Club championship rehearsals with umpire practice; teams will practice set management, line calls and substitutions during breaks."
18,27,78,approved,18,2025-11-17 08:00:00,2025-11-17 10:00:00,2025-11-17,"Early morning recovery session with light mobility and stretching; participants request mats and low-intensity warmup activities only."
19,29,78,approved,19,2025-11-21 09:00:00,2025-11-21 11:00:00,2025-11-21,"Practice match simulating tournament conditions; please keep court standards strict and avoid interruptions during play for realistic prep."
20,30,78,approved,20,2025-11-22 11:00:00,2025-11-22 15:00:00,2025-11-22,"Weekend family session with mixed ages; requesting nets at standard height and a shaded area for small children to rest between games."
21,1,78,approved,21,2025-11-18 14:00:00,2025-11-18 16:00:00,2025-11-18,"Late afternoon clinic focused on serving accuracy and placement; players will practice targets and track improvements across sets."
22,3,78,approved,22,2025-11-21 12:00:00,2025-11-21 14:00:00,2025-11-21,"Mixed doubles training with rotating partners; emphasis on court positioning, poaching and communication in the middle game."
23,4,78,approved,23,2025-11-17 09:00:00,2025-11-17 11:00:00,2025-11-17,"Team warmup before league game; focus on dynamic stretches, coordination drills and short tactical discussions prior to kickoff."
24,6,78,approved,24,2025-11-20 08:30:00,2025-11-20 12:30:00,2025-11-20,"Half-day training camp with rotating skill stations; coaches will rotate groups every 45 minutes and provide targeted feedback."
25,8,78,approved,25,2025-11-20 11:00:00,2025-11-20 13:00:00,2025-11-20,"New members orientation session covering facility rules and equipment storage; short tour and Q&A included during the break."
26,10,78,approved,26,2025-11-22 17:00:00,2025-11-22 21:00:00,2025-11-22,"Evening league fixtures scheduled back-to-back; please ensure warmup balls available and scoreboard volunteer on hand for quick turnovers."
27,13,78,approved,27,2025-11-22 10:00:00,2025-11-22 12:00:00,2025-11-22,"Tactical review and video playback planned after drills; players should arrive early to set up recording equipment and tripods."
28,15,78,approved,28,2025-11-18 10:00:00,2025-11-18 12:00:00,2025-11-18,"Rain contingency indoor booking; please confirm access to indoor hall and portable nets if wet weather arrives during the morning."
29,16,78,approved,29,2025-11-22 09:30:00,2025-11-22 11:30:00,2025-11-22,"Short technical session focusing on grip adjustments and wrist control; coach will provide individual corrections and drills for improvement."
30,19,78,approved,30,2025-11-19 13:00:00,2025-11-19 15:00:00,2025-11-19,"Group practice emphasising round-robin matches for social play; players will rotate every 15 minutes to keep matches varied and engaging."
