enum_name,value_order,value
accuracytype,1,default
accuracytype,2,user_selected
availability_status,1,available
availability_status,2,closed
availability_status,3,full
availabilitystatus,1,available
availabilitystatus,2,unavailable
block_target_type,1,event
block_target_type,2,trainingsession
court_area_type,1,fixed
court_area_type,2,flex
court_status,1,pending
court_status,2,verified
court_status,3,rejected
court_status,4,suspended
courtbookingstatus,1,pending
courtbookingstatus,2,approved
courtbookingstatus,3,rejected
courtbookingstatus,4,missed
courtsurface,1,hardwood
courtsurface,2,concrete
courtsurface,3,synthetic
courtsurface,4,grass
courtsurface,5,clay
eventbookingstatus,1,pending
eventbookingstatus,2,joined
eventbookingstatus,3,cancelled
eventbookingstatus,4,missed
eventstatus,1,upcoming
eventstatus,2,completed
eventstatus,3,cancelled
eventstatus,4,missed
notification_category,1,court
notification_category,2,event
notification_category,3,training
notificationtype,1,courtbooking
notificationtype,2,eventbooking
notificationtype,3,tsbooking
notificationtype,4,payment
paymentmethod,1,vnpay
paymentmethod,2,cash
paymentstatus,1,paid
paymentstatus,2,pending
paymentstatus,3,failed
review_reaction_type,1,like
review_reaction_type,2,dislike
reviewtargettype,1,court
reviewtargettype,2,event
reviewtargettype,3,trainingsession
servicecategory,1,consumable
servicecategory,2,rental
servicestatus,1,active
servicestatus,2,inactive
sessionstatus,1,upcoming
sessionstatus,2,completed
sessionstatus,3,cancelled
sessionstatus,4,missed
supportpaymentmethods,1,cash
supportpaymentmethods,2,vnpay
supportpaymentmethods,3,both
tsbookingstatus,1,pending
tsbookingstatus,2,joined
tsbookingstatus,3,cancelled
tsbookingstatus,4,missed
userrole,1,player
userrole,2,coach
userrole,3,organizer
userrole,4,courtowner
venue_type,1,Indoor
venue_type,2,Outdoor
venue_type,3,Both
