sessioninfoid,sessionid,numberofpeople,description,title
1,1,0,"Football coaching focused on tactical positioning and finishing. Players will work on movement off the ball, crossing patterns and finishing under pressure. Small-sided drills simulate game situations and give personalized feedback to improve decision-making.","Tactical Finishing Session"
2,2,0,"Badminton footwork and smash mechanics session designed to build power and recovery speed. Drills emphasize explosive movement, timing and placement with coach-led feedback to refine technique and court coverage.","Smash & Footwork Clinic"
3,3,0,"Table tennis serve and spin workshop where participants learn variation, placement and return strategies. Coaches will demonstrate techniques and supervise practice matches with targeted feedback to improve consistency.","Serve & Spin Workshop"
4,4,0,"Tennis serve accuracy and net play clinic with partnered drills and match simulation. Players get repetitions on second-serve consistency and volley transitions to develop court control during points.","Serve & Net Clinic"
5,5,0,"Volleyball skills session focusing on setting and spiking technique. Drills include approach timing, arm swing mechanics and reading the setter for improved attacking options during match play.","Attack Technique Session"
6,6,0,"Basketball shooting and spacing training emphasizing catch-and-shoot mechanics and off-ball movement. Competitive drills encourage decision making and shot selection in game-like scenarios.","Shooting & Spacing Training"
7,7,0,"Multi-sport conditioning focused on agility and coordination for football and volleyball players. Circuit drills target balance, quickness and change of direction with coach feedback to improve athleticism.","Agility Conditioning Circuit"
8,8,0,"Pickleball fundamentals clinic teaching dink control, serve consistency and smart court positioning. Players practice shot placement and footwork drills to gain confidence in rallies and short-game play.","Pickleball Fundamentals"
9,9,0,"Dual racket coaching that alternates between tennis volley drills and table tennis reflex training. Useful for players seeking cross-training benefits and sharper hand-eye coordination across racket sports.","Racket Reflex Training"
10,10,0,"Running technique and interval session focusing on efficient stride mechanics and pacing. Coaches provide form cues and timed intervals with recovery to build speed and aerobic capacity.","Running Technique & Intervals"
11,11,0,"Racket rotation coaching covering advanced drop shots and defensive lobs in badminton and table tennis. Players refine touch, timing and deception through partner drills and coached rallies.","Advanced Drop & Lob"
12,12,0,"Golf short game masterclass centered on putting, chipping and bunker play. Coaches work individually to improve feel around the green and approach accuracy for lower scores.","Short Game Masterclass"
13,13,0,"Football finishing clinic with progressive shooting drills, combination play and finishing under pressure. Focus on composure in front of goal and creating space for high-percentage shots.","Finishing & Combination Drills"
14,14,0,"Basketball defensive footwork and closeout session training on stance, lateral quickness and help rotation. Drills simulate defensive scenarios to build anticipation and team defense communication.","Defensive Footwork Clinic"
15,15,0,"Coastal conditioning session combining sprint intervals and core stability work to enhance beach volleyball performance. Includes partner drills for timing and explosive jumps.","Beach Conditioning & Jumps"
16,16,0,"Badminton net play masterclass focusing on tight net shots, rapid exchanges and deceptive returns with partner drills to sharpen reflexes and tactical awareness at the net.","Net Play Mastery"
17,17,0,"Table tennis match tactics workshop teaching point construction, variation and mental strategy for winning critical rallies. Includes live match coaching and tactical adjustments.","Match Tactics Workshop"
18,18,0,"Social run coaching session teaching pacing, breathing technique and group run etiquette. Coaches guide progressive distance and recovery strategies for steady improvement.","Group Run Coaching"
19,19,0,"Football passing accuracy and pattern play session with coach-led circuits that focus on first touch, vision and progressive combination sequences to break down defenses.","Passing Pattern Workshop"
20,20,0,"Combined indoor/outdoor session that alternates basketball shooting drills with volleyball serve-receive training to improve transitional play and all-around athletic skills.","Transitional Skills Session"
21,21,0,"Family coaching clinic teaching basic tennis skills to children and parents together with fun drills, mini-games and constructive feedback to build confidence and coordination.","Family Tennis Clinic"
22,22,0,"Badminton mixed doubles tactics session focusing on communication, rotation and attacking formations. Coaches run scenarios to reinforce court positioning and shot selection.","Mixed Doubles Tactics"
23,23,0,"Football and table tennis combined coaching emphasizing short passing games and quick reflex drills. Good cross-training session to improve decision-making and touch under pressure.","Dual Sport Coordination"
24,24,0,"Basketball shooting mechanics masterclass reviewing form, release and follow-through with repetition drills and video-feedback to identify improvements and reinforce muscle memory.","Shooting Mechanics Masterclass"
25,25,0,"Interval testing and pacing workshop for runners focusing on target splits and recovery. Coaches time runs and provide pacing strategies to help athletes achieve personal bests.","Interval Pacing Workshop"
26,26,0,"Tennis doubles positioning clinic with live drill scenarios to practice poaching, communication and coordinated movement for effective net control and baseline support.","Doubles Positioning Clinic"
27,27,0,"Table tennis serve development workshop covering spin generation and placement variety to create attacking opportunities. Includes partner drills and live feedback from coaches.","Serve Development Workshop"
28,28,0,"Junior volleyball skills class focusing on passing technique, setting consistency and basic attacking approach designed for younger players to develop fundamental skills.","Junior Skills Class"
29,29,0,"Endurance building session for runners with progressive intervals and strength-focused drills to build sustained pace and muscular resilience over longer distances.","Endurance Building Session"
30,30,0,"Cross-training clinic combining golf short-game drills with light tennis coordination work to develop controlled swings and improved proprioception across sports.","Cross-Training Coaching"
