table_name,constraint_name,columns
block_list,block_list_unique,"targettype, targetid, blocked_userid"
events,events_courtbookingid_key,courtbookingid
favouritecourts,uc_usercourt,"userid, courtid"
playingcourt,playingcourt_courtid_base_name_part_key,"courtid, base_name, part"
playingcourtinfo,playingcourtinfo_playingcourtid_key,playingcourtid
review_reactions,review_reactions_reviewid_userid_key,"reviewid, userid"
trainingsessions,trainingsessions_courtbookingid_key,courtbookingid
unverified_users,unverified_email_unique,email
unverified_users,unverified_users_phone_key,phone
user_auth_providers,user_auth_providers_unique,"provider, provider_uid"
user_devices,user_devices_push_token_key,push_token
userinfo,userinfo_contactnumber_key,contactnumber
userinfo,userinfo_email_key,email
userlogin,userlogin_username_key,username
